c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,B,P,Y,Y,G,R,O,R,a
B,O,Y,Y,B,P,R,R,G,a
B,B,R,O,Y,Y,P,G,R,a
B,G,Y,O,R,B,P,Y,R,a
B,O,R,P,Y,B,G,Y,R,a
B,B,P,O,R,R,Y,G,Y,a
B,B,Y,P,R,Y,G,O,R,a
B,R,O,Y,B,P,Y,G,R,a
B,O,G,Y,R,R,B,P,Y,a
B,G,P,R,Y,O,R,Y,B,a
B,B,Y,G,R,O,P,Y,R,a
B,O,P,Y,Y,G,B,R,R,a
B,O,Y,R,P,G,B,R,Y,a
B,P,G,Y,R,B,R,O,Y,a
B,O,R,Y,G,P,Y,B,R,a
B,O,Y,P,R,B,G,Y,R,a
B,G,Y,Y,B,P,O,R,R,a
B,G,R,Y,R,P,Y,B,O,a
B,G,R,O,P,R,Y,B,Y,a
B,P,Y,R,Y,O,R,B,G,a
B,O,G,R,Y,P,R,Y,B,a
B,O,R,Y,R,P,Y,B,G,a
B,G,R,O,P,Y,Y,R,B,a
B,G,R,O,P,Y,B,R,Y,a
B,G,P,O,Y,B,Y,R,R,a
R,B,Y,G,P,O,Y,B,R,a
B,P,Y,R,R,B,G,O,Y,a
B,B,P,R,Y,O,Y,G,R,a
B,G,P,R,Y,B,R,O,Y,a
B,B,O,P,Y,Y,R,G,R,a
B,G,R,P,R,B,O,Y,Y,a
P,B,Y,G,B,Y,R,O,R,a
B,B,R,R,Y,O,P,G,Y,a
B,G,R,Y,Y,R,B,O,P,a
B,P,Y,Y,O,G,B,R,R,a
B,G,R,O,B,R,P,Y,Y,a
G,P,Y,R,B,O,Y,B,R,a
B,B,G,P,R,O,Y,Y,R,a
B,P,Y,Y,R,G,R,B,O,a
B,O,Y,R,R,P,B,Y,G,a
B,B,R,P,G,O,Y,Y,R,a
P,B,R,B,Y,G,Y,O,R,a
B,G,Y,R,O,P,R,B,Y,a
B,O,Y,R,B,P,R,Y,G,a
B,O,Y,R,R,Y,G,P,B,a
B,O,G,P,R,B,Y,R,Y,a
B,O,Y,Y,R,P,B,R,G,a
B,G,Y,Y,R,B,O,P,R,a
B,B,R,O,P,R,Y,G,Y,a
B,G,O,R,Y,P,B,Y,R,a
B,P,O,Y,R,G,R,B,Y,a
B,G,Y,P,Y,R,R,B,O,a
B,G,Y,R,O,R,B,P,Y,a
B,G,Y,Y,B,O,R,R,P,a
B,O,R,R,P,G,B,Y,Y,a
B,O,G,Y,R,P,Y,R,B,a
B,B,R,P,Y,O,R,Y,G,a
B,B,Y,O,P,Y,R,G,R,a
B,O,Y,Y,B,R,R,G,P,a
B,O,B,P,Y,Y,G,R,R,a
B,G,Y,Y,R,O,B,R,P,a
B,P,R,Y,G,B,Y,O,R,a
B,G,Y,P,Y,B,R,R,O,a
B,B,R,O,Y,R,Y,P,G,a
B,B,R,P,Y,G,R,Y,O,a
B,B,R,G,R,Y,Y,O,P,a
B,G,B,R,Y,Y,P,O,R,a
G,B,R,P,Y,O,Y,B,R,a
P,G,Y,O,R,B,R,B,Y,a
P,B,R,G,Y,B,Y,O,R,a
B,R,G,Y,B,P,R,O,Y,a
B,P,R,Y,Y,B,R,O,G,a
B,P,B,R,R,Y,Y,O,G,a
B,G,O,Y,Y,B,R,P,R,a
B,B,G,O,Y,Y,R,P,R,a
B,O,G,P,B,Y,Y,R,R,a
B,P,R,Y,G,B,R,O,Y,a
B,B,R,Y,P,G,R,O,Y,a
B,G,O,R,Y,P,R,Y,B,a
O,B,R,P,B,Y,R,G,Y,a
B,G,P,R,R,Y,Y,O,B,a
O,B,Y,G,B,R,Y,P,R,a
B,B,R,G,O,P,R,Y,Y,a
B,O,G,P,Y,Y,R,B,R,a
B,O,B,R,Y,Y,P,G,R,a
G,P,R,Y,B,O,R,B,Y,a
B,G,P,Y,R,R,Y,O,B,a
B,O,Y,R,B,R,Y,G,P,a
B,O,P,R,Y,B,Y,G,R,a
P,B,Y,Y,B,G,R,O,R,a
B,O,P,R,Y,B,R,G,Y,a
P,O,R,R,B,B,Y,G,Y,a
B,O,P,R,Y,G,B,Y,R,a
B,B,R,O,R,Y,Y,P,G,a
B,P,O,Y,R,B,Y,G,R,a
B,G,R,P,B,Y,O,Y,R,a
B,B,P,O,Y,G,Y,R,R,a
B,O,B,P,R,R,G,Y,Y,a
B,O,Y,P,B,R,G,Y,R,a
B,R,P,Y,B,G,Y,O,R,a
B,G,R,Y,R,P,O,Y,B,a
B,B,R,Y,O,P,R,G,Y,a
B,B,Y,Y,R,G,R,P,O,a
B,B,R,Y,G,P,R,O,Y,a
B,O,R,Y,P,B,Y,G,R,a
B,B,Y,R,P,O,R,G,Y,a
B,B,R,Y,R,G,Y,P,O,a
B,O,Y,R,B,P,G,Y,R,a
B,O,Y,P,R,Y,G,B,R,a
B,B,O,G,R,P,R,Y,Y,a
B,B,Y,R,O,G,R,P,Y,a
B,P,R,Y,O,B,R,G,Y,a
O,B,Y,P,B,R,Y,G,R,a
B,G,O,Y,B,R,R,P,Y,a
B,G,Y,R,B,Y,R,P,O,a
B,B,P,G,R,O,Y,Y,R,a
B,O,R,P,B,R,Y,Y,G,a
B,B,R,G,R,Y,O,P,Y,a
B,G,R,O,Y,R,Y,B,P,a
B,O,G,P,Y,R,B,Y,R,a
B,O,G,Y,B,R,Y,P,R,a
B,G,B,P,Y,Y,R,R,O,a
B,G,R,Y,R,B,Y,O,P,a
B,G,Y,P,R,Y,R,B,O,a
B,R,Y,Y,B,P,O,G,R,a
B,G,R,P,O,B,Y,Y,R,a
B,O,R,Y,G,P,Y,R,B,a
B,B,R,O,Y,P,G,Y,R,a
B,B,O,P,Y,G,R,Y,R,a
B,P,Y,Y,B,R,G,O,R,a
G,B,Y,O,R,P,Y,B,R,a
B,O,R,P,G,R,Y,B,Y,a
G,O,R,P,B,R,Y,B,Y,a
