c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,B,R,R,W,G,O,G,Y,a
B,O,G,R,W,P,Y,Y,P,a
G,O,R,Y,W,B,P,G,R,a
B,B,O,O,W,P,Y,Y,R,a
B,B,R,O,W,O,P,Y,Y,a
B,B,G,Y,W,P,O,O,R,a
P,B,P,B,W,Y,Y,O,R,a
O,B,Y,G,W,R,P,Y,R,a
P,P,Y,R,W,G,R,B,Y,a
B,G,P,R,W,R,P,Y,Y,a
O,B,R,O,W,B,Y,G,P,a
B,G,P,O,W,Y,P,R,Y,a
B,B,R,Y,W,O,Y,P,O,a
B,O,B,P,W,Y,Y,R,O,a
O,B,Y,Y,W,B,R,O,P,a
B,P,G,Y,W,R,P,O,Y,a
B,G,Y,Y,W,R,O,P,R,a
B,G,P,R,W,Y,R,B,O,a
B,B,P,R,W,G,Y,O,O,a
B,B,Y,R,W,O,R,G,G,a
B,B,O,P,W,R,R,Y,G,a
B,B,O,G,W,R,R,G,Y,a
B,P,G,P,W,R,Y,Y,R,a
B,P,R,Y,W,Y,G,O,P,a
G,B,Y,R,W,P,R,G,O,a
B,G,P,R,W,P,Y,Y,O,a
G,O,P,O,W,B,R,B,Y,a
B,O,R,P,W,Y,G,B,Y,a
B,G,O,R,W,B,R,G,Y,a
G,B,R,P,W,O,O,B,Y,a
B,R,R,Y,W,P,G,Y,P,a
B,B,O,O,W,Y,G,P,R,a
B,O,Y,R,W,B,Y,P,P,a
B,B,Y,Y,W,P,G,O,R,a
B,G,Y,O,W,B,R,Y,P,a
O,B,P,P,W,G,Y,R,Y,a
B,G,Y,Y,W,B,O,P,R,a
B,G,P,R,W,R,Y,Y,G,a
B,B,O,R,W,O,G,Y,R,a
B,P,O,R,W,Y,B,Y,P,a
B,O,Y,Y,W,B,O,P,P,a
G,B,Y,O,W,P,R,Y,P,a
B,G,P,R,W,Y,P,O,Y,a
B,B,Y,R,W,O,P,O,Y,a
B,G,P,R,W,G,O,R,Y,a
B,B,P,O,W,R,Y,G,O,a
